case,sample,LB,unit,fq1,fq2,PL
ctMSI-CRC-0057,N,ctMSI-CRC-0057-N,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S103_SZ20190420025WHB-c_gdna_wesplus_28229_S22_L004_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S103_SZ20190420025WHB-c_gdna_wesplus_28229_S22_L004_R2_001.fastq.gz,ILM
ctMSI-CRC-0058,N,ctMSI-CRC-0058-N,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S006_SZ20190302009WHB-8_gdna_wesplus_26611_S6_L001_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S006_SZ20190302009WHB-8_gdna_wesplus_26611_S6_L001_R2_001.fastq.gz,ILM
ctMSI-CRC-0058,T,ctMSI-CRC-0058-T,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S020_SZ20190420022PES-f_ffpedna_wesplus_26754_S12_L002_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S020_SZ20190420022PES-f_ffpedna_wesplus_26754_S12_L002_R2_001.fastq.gz,ILM
ctMSI-CRC-0059,T,ctMSI-CRC-0059-T,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S071_20181124039-5_ffpedna_wesplus_16110_S39_L004_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S071_20181124039-5_ffpedna_wesplus_16110_S39_L004_R2_001.fastq.gz,ILM
ctMSI-CRC-0059,N,ctMSI-CRC-0059-N,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S007_20181124040-8_gdna_wesplus_16122_S7_L002_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S007_20181124040-8_gdna_wesplus_16122_S7_L002_R2_001.fastq.gz,ILM
ctMSI-CRC-0060,N,ctMSI-CRC-0060-N,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S150_SZ20190305004WHB-c_gdna_wesplus_25702_S15_L004_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S150_SZ20190305004WHB-c_gdna_wesplus_25702_S15_L004_R2_001.fastq.gz,ILM
ctMSI-CRC-0060,T,ctMSI-CRC-0060-T,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S074_SZ20190411023PES-2_ffpedna_wesplus_27117_S34_L004_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S074_SZ20190411023PES-2_ffpedna_wesplus_27117_S34_L004_R2_001.fastq.gz,ILM
ctMSI-CRC-0061,T,ctMSI-CRC-0061-T,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S040_20180909002-5_ffpedna_wesplus_11357_S40_L004_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S040_20180909002-5_ffpedna_wesplus_11357_S40_L004_R2_001.fastq.gz,ILM
ctMSI-CRC-0061,N,ctMSI-CRC-0061-N,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S077_20180908019-c_gdna_wesplus_11394_S18_L002_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S077_20180908019-c_gdna_wesplus_11394_S18_L002_R2_001.fastq.gz,ILM
ctMSI-CRC-0062,N,ctMSI-CRC-0062-N,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S002_SZ20181219018WHB-7_gdna_wesplus_18244_S2_L002_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S002_SZ20181219018WHB-7_gdna_wesplus_18244_S2_L002_R2_001.fastq.gz,ILM
